5A8	Aleknagik / New Airport	US
HU-0002	Kalocsa-Foktő Airport	HU
HUAR	Arua Airport	UG
HUEN	Entebbe International Airport	UG
HUGU	Gulu Airport	UG
HUSO	Soroti Airport	UG
HZU	Chengdu Huaizhou Airport	CN
IBL	Indigo Bay Lodge Airport	MZ
ID-0274	Sangia Nibandera Airport	ID
ID-0277	Kediri Airport	ID
ID-ZGP	Bilogai-Sugapa Airport	ID
IN-0011	Jakkur Aerodrome	IN
IN-0277	Mopa International Airport	IN
IN-0308	Itanagar Donyi Polo Hollongi Airport	IN
IQ-0016	H1 New Air Base	IQ
IQ-0017	H2 Air Base	IQ
IQ-0018	H3 Air Base	IQ
IQ-0020	H3 Northwest AFB	IQ
IQ-0021	H3 Southwest Air Base	IQ
IQ-0024	Jalibah Southeast Air Base	IQ
IQ-0030	Kut Al Hayy East Air Base	IQ
IQ-0034	Qalat Salih Air Base	IQ
IQ-0039	Rasheed Air Base	IQ
IQ-0040	Ruwayshid Air Base	IQ
IQ-0042	Sahl Sinjar Air Base	IQ
IQ-0044	Salum Air Base	IQ
IQ-0045	Samarra East Air Base / Dhuluiya Airport	IQ
IQ-0051	Tal Ashtah New Air Base	IQ
IQ-0054	Tuz Khurmatu Air Base	IQ
IQ-0055	Wadi Al Khirr New Air Base	IQ
ISG	New Ishigaki Airport	JP
JGD	Jiagedaqi Airport	CN
JIQ	Qianjiang Wulingshan Airport	CN
JJD	Jericoacoara - Comandante Ariston Pessoa Regional Airport	BR
JNZ	Jinzhou Bay Airport	CN
JO-0002	King Feisal Air Base	JO
K61B	Boulder City Municipal Airport	US
K67L	Mesquite International Airport	US
K79J	South Alabama Regional At Bill Benton Field Airport	US
KABE	Lehigh Valley International Airport	US
KABI	Abilene Regional Airport	US
KABQ	Albuquerque International Sunport	US
KABR	Aberdeen Regional Airport	US
KABY	Southwest Georgia Regional Airport	US
KACK	Nantucket Memorial Airport	US
KACT	Waco Regional Airport	US
KACV	California Redwood Coast-Humboldt County Airport	US
KACY	Atlantic City International Airport	US
KADW	Joint Base Andrews	US
KAEX	Alexandria International Airport	US
KAFW	Perot Field/Fort Worth Alliance Airport	US
KAGC	Allegheny County Airport	US
KAGS	Augusta Regional At Bush Field	US
KAHN	Athens Ben Epps Airport	US
KAKR	Akron Executive Airport	US
KALB	Albany International Airport	US
KALI	Alice International Airport	US
KALM	Alamogordo White Sands Regional Airport	US
KALN	St Louis Regional Airport	US
KALO	Waterloo Regional Airport	US
KALS	San Luis Valley Regional Airport/Bergman Field	US
KALW	Walla Walla Regional Airport	US
KAMA	Rick Husband Amarillo International Airport	US
KANB	Anniston Regional Airport	US
KAND	Anderson Regional Airport	US
KAOO	Altoona Blair County Airport	US
KAPA	Centennial Airport	US
KAPF	Naples Municipal Airport	US
KAPG	Phillips Army Air Field	US
KAPN	Alpena County Regional Airport	US
KARA	Acadiana Regional Airport	US
KART	Watertown International Airport	US
KASE	Aspen-Pitkin County Airport (Sardy Field)	US
KAST	Astoria Regional Airport	US
KATL	Hartsfield Jackson Atlanta International Airport	US
KATY	Watertown Regional Airport	US
KAUG	Augusta State Airport	US
KAUS	Austin Bergstrom International Airport	US
KAUW	Wausau Downtown Airport	US
KAVL	Asheville Regional Airport	US
KAVP	Wilkes Barre Scranton International Airport	US
KAXN	Chandler Field	US
KAZO	Kalamazoo Battle Creek International Airport	US
KBAB	Beale Air Force Base	US
KBAD	Barksdale Air Force Base	US
KBAF	Westfield-Barnes Regional Airport	US
KBAK	Columbus Municipal Airport	US
KBAZ	New Braunfels Municipal Airport	US
KBBD	Curtis Field	US
KBCE	Bryce Canyon Airport	US
KBDE	Baudette International Airport	US
KBDL	Bradley International Airport	US
KBDR	Igor I Sikorsky Memorial Airport	US
KBED	Laurence G Hanscom Field	US
KBFD	Bradford Regional Airport	US
KBFF	Western Neb. Rgnl/William B. Heilig Airport	US
KBFI	Boeing Field King County International Airport	US
KBFL	Meadows Field	US
KBFM	Mobile Downtown Airport	US
KBGM	Greater Binghamton/Edwin A Link field	US
KBGR	Bangor International Airport	US
KBHB	Hancock County-Bar Harbor Airport	US
KBHM	Birmingham-Shuttlesworth International Airport	US
KBIF	Biggs Army Air Field (Fort Bliss)	US
KBIH	Eastern Sierra Regional Airport	US
KBIL	Billings Logan International Airport	US
KBIS	Bismarck Municipal Airport	US
KBIX	Keesler Air Force Base	US
KBJC	Rocky Mountain Metropolitan Airport	US
KBJI	Bemidji Regional Airport	US
KBKE	Baker City Municipal Airport	US
KBKF	Buckley Space Force Base	US
KBKL	Burke Lakefront Airport	US
KBKW	Raleigh County Memorial Airport	US
KBLF	Mercer County Airport	US
KBLH	Blythe Airport	US
KBLI	Bellingham International Airport	US
KBLV	Scott AFB/Midamerica Airport	US
KBMG	Monroe County Airport	US
KBMI	Central Illinois Regional Airport at Bloomington-Normal	US
KBNA	Nashville International Airport	US
KBNO	Burns Municipal Airport	US
KBOI	Boise Air Terminal/Gowen Field	US
KBOS	Logan International Airport	US
KBPI	Miley Memorial Field	US
KBPK	Ozark Regional Airport	US
KBPT	Jack Brooks Regional Airport	US
KBQK	Brunswick Golden Isles Airport	US
KBRD	Brainerd Lakes Regional Airport	US
KBRL	Southeast Iowa Regional Airport	US
KBRO	Brownsville South Padre Island International Airport	US
KBTL	Battle Creek Executive Airport at Kellogg Field	US
KBTM	Bert Mooney Airport	US
KBTR	Baton Rouge Metropolitan Airport	US
KBTV	Burlington International Airport	US
KBUF	Buffalo Niagara International Airport	US
KBUR	Bob Hope Airport	US
KBVI	Beaver County Airport	US
KBVY	Beverly Regional Airport	US
KBWG	Bowling Green Warren County Regional Airport	US
KBWI	Baltimore/Washington International Thurgood Marshall Airport	US
KBYH	Arkansas International Airport	US
KBYI	Burley Municipal Airport	US
KBYS	Bicycle Lake Army Air Field	US
KBZN	Gallatin Field	US
KCAE	Columbia Metropolitan Airport	US
KCAK	Akron Canton Regional Airport	US
KCAR	Caribou Municipal Airport	US
KCBM	Columbus Air Force Base	US
KCCY	Northeast Iowa Regional Airport	US
KCDC	Cedar City Regional Airport	US
KCDR	Chadron Municipal Airport	US
KCDS	Childress Municipal Airport	US
KCEC	Jack Mc Namara Field Airport	US
KCEF	Westover Metropolitan Airport / Westover Air Reserve Base	US
KCEW	Bob Sikes Airport	US
KCGF	Cuyahoga County Airport	US
KCGI	Cape Girardeau Regional Airport	US
KCHA	Chattanooga Metropolitan Airport (Lovell Field)	US
KCHO	Charlottesville Albemarle Airport	US
KCHS	Charleston International Airport	US
KCID	The Eastern Iowa Airport	US
KCIU	Chippewa County International Airport	US
KCKB	North Central West Virginia Airport	US
KCLE	Cleveland Hopkins International Airport	US
KCLL	Easterwood Field	US
KCLM	William R Fairchild International Airport	US
KCLT	Charlotte Douglas International Airport	US
KCMA	Camarillo International Airport	US
KCMH	John Glenn Columbus International Airport	US
KCMI	University of Illinois Willard Airport	US
KCMX	Houghton County Memorial Airport	US
KCNM	Cavern City Air Terminal	US
KCNU	Chanute Martin Johnson Airport	US
KCOD	Yellowstone Regional Airport	US
KCOE	Coeur D'Alene - Pappy Boyington Field	US
KCOF	Patrick Space Force Base	US
KCON	Concord Municipal Airport	US
KCOS	City of Colorado Springs Municipal Airport	US
KCOU	Columbia Regional Airport	US
KCPF	Wendell H Ford Airport	US
KCPR	Casper-Natrona County International Airport	US
KCRE	Grand Strand Airport	US
KCRG	Jacksonville Executive at Craig Airport	US
KCRP	Corpus Christi International Airport	US
KCRQ	McClellan-Palomar Airport	US
KCRW	Yeager Airport	US
KCSG	Columbus Metropolitan Airport	US
KCSV	Crossville Memorial Whitson Field	US
KCTB	Cut Bank International Airport	US
KCUB	Jim Hamilton L.B. Owens Airport	US
KCVG	Cincinnati Northern Kentucky International Airport	US
KCVO	Corvallis Municipal Airport	US
KCVS	Cannon Air Force Base	US
KCWA	Central Wisconsin Airport	US
KCXO	Conroe-North Houston Regional Airport	US
KCYS	Cheyenne Regional Jerry Olson Field	US
KDAA	Davison Army Air Field	US
KDAB	Daytona Beach International Airport	US
KDAG	Barstow Daggett Airport	US
KDAL	Dallas Love Field	US
KDAN	Danville Regional Airport	US
KDAY	James M Cox Dayton International Airport	US
KDBQ	Dubuque Regional Airport	US
KDCA	Ronald Reagan Washington National Airport	US
KDDC	Dodge City Regional Airport	US
KDEC	Decatur Airport	US
KDEN	Denver International Airport	US
KDET	Coleman A. Young Municipal Airport	US
KDFW	Dallas Fort Worth International Airport	US
KDHN	Dothan Regional Airport	US
KDHT	Dalhart Municipal Airport	US
KDIK	Dickinson Theodore Roosevelt Regional Airport	US
KDLF	Laughlin Air Force Base	US
KDLH	Duluth International Airport	US
KDLS	Columbia Gorge Regional Airport	US
KDMA	Davis Monthan Air Force Base	US
KDMN	Deming Municipal Airport	US
KDNL	Daniel Field	US
KDOV	Dover Air Force Base	US
KDPA	Dupage Airport	US
KDRA	Desert Rock Airport	US
KDRI	Beauregard Regional Airport	US
KDRT	Del Rio International Airport	US
KDSM	Des Moines International Airport	US
KDTW	Detroit Metropolitan Wayne County Airport	US
KDUG	Bisbee Douglas International Airport	US
KDUJ	DuBois Regional Airport	US
KDYS	Dyess Air Force Base	US
KE-0075	Laikipia Air Base	KE
KEAR	Kearney Regional Airport	US
KEAT	Pangborn Memorial Airport	US
KEAU	Chippewa Valley Regional Airport	US
KECG	Elizabeth City Regional Airport & Coast Guard Air Station	US
KECP	Northwest Florida Beaches International Airport	US
KEDW	Edwards Air Force Base	US
KEED	Needles Airport	US
KEEN	Dillant Hopkins Airport	US
KEET	Shelby County Airport	US
KEFD	Ellington Airport	US
KEGE	Eagle County Regional Airport	US
KEGI	Duke Field	US
KEKA	Murray Field	US
KEKN	Elkins-Randolph County Regional Airport	US
KEKO	Elko Regional Airport	US
KELD	South Arkansas Regional Airport at Goodwin Field	US
KELM	Elmira Corning Regional Airport	US
KELO	Ely Municipal Airport	US
KELP	El Paso International Airport	US
KELY	Ely Airport Yelland Field	US
KEND	Vance Air Force Base	US
KENV	Wendover Airport	US
KENW	Kenosha Regional Airport	US
KERI	Erie International Tom Ridge Field	US
KESF	Esler Army Airfield / Esler Regional Airport	US
KEUG	Mahlon Sweet Field	US
KEVV	Evansville Regional Airport	US
KEVW	Evanston-Uinta County Airport-Burns Field	US
KEWB	New Bedford Regional Airport	US
KEWN	Coastal Carolina Regional Airport	US
KEWR	Newark Liberty International Airport	US
KEYW	Key West International Airport	US
KFAF	Felker Army Air Field	US
KFAR	Hector International Airport	US
KFAT	Fresno Yosemite International Airport	US
KFAY	Fayetteville Regional Airport - Grannis Field	US
KFBG	Simmons Army Air Field	US
KFCS	Butts AAF (Fort Carson) Air Field	US
KFDY	Findlay Airport	US
KFFO	Wright-Patterson Air Force Base	US
KFHU	Sierra Vista Municipal Airport / Libby Army Air Field	US
KFKL	Venango Regional Airport	US
KFLG	Flagstaff Pulliam International Airport	US
KFLL	Fort Lauderdale Hollywood International Airport	US
KFLO	Florence Regional Airport	US
KFME	Tipton Airport	US
KFMN	Four Corners Regional Airport	US
KFMY	Page Field	US
KFNT	Bishop International Airport	US
KFOD	Fort Dodge Regional Airport	US
KFOE	Topeka Regional Airport	US
KFPR	St Lucie County International Airport	US
KFRG	Republic Airport	US
KFRI	Marshall Army Air Field	US
KFSD	Sioux Falls Regional Airport / Joe Foss Field	US
KFSI	Henry Post Army Air Field (Fort Sill)	US
KFSM	Fort Smith Regional Airport	US
KFST	Fort Stockton Pecos County Airport	US
KFTK	Godman Army Air Field	US
KFTW	Fort Worth Meacham International Airport	US
KFTY	Fulton County Airport Brown Field	US
KFWA	Fort Wayne International Airport	US
KFXE	Fort Lauderdale Executive Airport	US
KFYV	Drake Field	US
KG-0001	Jalal-Abad Airport	KG
KGCC	Northeast Wyoming Regional Airport	US
KGCK	Garden City Regional Airport	US
KGCN	Grand Canyon National Park Airport	US
KGDV	Dawson Community Airport	US
KGEG	Spokane International Airport	US
KGFK	Grand Forks International Airport	US
KGFL	Floyd Bennett Memorial Airport	US
KGGG	East Texas Regional Airport	US
KGGW	Wokal Field/Glasgow-Valley County Airport	US
KGJT	Grand Junction Regional Airport	US
KGLD	Goodland Municipal Airport	US
KGLH	Mid Delta Regional Airport	US
KGLS	Scholes International At Galveston Airport	US
KGMU	Greenville Downtown Airport	US
KGNV	Gainesville Regional Airport	US
KGON	Groton New London Airport	US
KGPI	Glacier Park International Airport	US
KGPT	Gulfport Biloxi International Airport	US
KGRB	Austin Straubel International Airport	US
KGRF	Gray Army Air Field	US
KGRI	Central Nebraska Regional Airport	US
KGRK	Killeen-Fort Hood Regional Airport / Robert Gray Army Air Field	US
KGRR	Gerald R. Ford International Airport	US
KGSB	Seymour Johnson Air Force Base	US
KGSO	Piedmont Triad International Airport	US
KGSP	Greenville Spartanburg International Airport	US
KGTB	Wheeler Sack Army Air Field	US
KGTF	Great Falls International Airport	US
KGTR	Golden Triangle Regional Airport	US
KGUP	Gallup Municipal Airport	US
KGUS	Grissom Air Reserve Base	US
KGUY	Guymon Municipal Airport	US
KGWO	Greenwood–Leflore Airport	US
KGYY	Gary Chicago International Airport	US
KHBG	Hattiesburg Bobby L Chain Municipal Airport	US
KHBR	Hobart Regional Airport	US
KHFD	Hartford Brainard Airport	US
KHGR	Hagerstown Regional Richard A Henson Field	US
KHHR	Jack Northrop Field Hawthorne Municipal Airport	US
KHIB	Range Regional Airport	US
KHIF	Hill Air Force Base	US
KHII	Lake Havasu City International Airport	US
KHIO	Portland Hillsboro Airport	US
KHKY	Hickory Regional Airport	US
KHLG	Wheeling Ohio County Airport	US
KHLN	Helena Regional Airport	US
KHLR	Hood Army Air Field	US
KHMN	Holloman Air Force Base	US
KHOB	Lea County Regional Airport	US
KHON	Huron Regional Airport	US
KHOP	Campbell Army Airfield (Fort Campbell)	US
KHOT	Memorial Field Airport	US
KHOU	William P Hobby Airport	US
KHPN	Westchester County Airport	US
KHQM	Bowerman Airport	US
KHRL	Valley International Airport	US
KHRO	Boone County Airport	US
KHRT	Hurlburt Field	US
KHST	Homestead ARB Airport	US
KHSV	Huntsville International Carl T Jones Field	US
KHTS	Tri-State Airport / Milton J. Ferguson Field	US
KHUA	Redstone Army Air Field	US
KHUF	Terre Haute Regional Airport, Hulman Field	US
KHUL	Houlton International Airport	US
KHUT	Hutchinson Municipal Airport	US
KHVN	Tweed New Haven Airport	US
KHVR	Havre City County Airport	US
KHYA	Cape Cod Gateway Airport	US
KHYI	San Marcos Regional Airport	US
KHYR	Sawyer County Airport	US
KHYS	Hays Regional Airport	US
KHZY	Northeast Ohio Regional Airport	US
KI39	Central Kentucky Regional Airport	US
KIAB	McConnell Air Force Base	US
KIAD	Washington Dulles International Airport	US
KIAG	Niagara Falls International Airport	US
KIAH	George Bush Intercontinental Houston Airport	US
KICT	Wichita Eisenhower National Airport	US
KIDA	Idaho Falls Regional Airport	US
KIFP	Laughlin Bullhead International Airport	US
KIGM	Kingman Airport	US
KIKK	Greater Kankakee Airport	US
KILG	New Castle Airport	US
KILM	Wilmington International Airport	US
KILN	Wilmington Airpark	US
KIND	Indianapolis International Airport	US
KINK	Winkler County Airport	US
KINL	Falls International Airport	US
KINT	Smith Reynolds Airport	US
KINW	Winslow Lindbergh Regional Airport	US
KIPL	Imperial County Airport	US
KIPT	Williamsport Regional Airport	US
KIRK	Kirksville Regional Airport	US
KISM	Kissimmee Gateway Airport	US
KISO	Kinston Regional Jetport At Stallings Field	US
KISP	Long Island Mac Arthur Airport	US
KITH	Ithaca Tompkins Regional Airport	US
KIWA	Phoenix–Mesa Gateway Airport	US
KJAC	Jackson Hole Airport	US
KJAN	Jackson-Medgar Wiley Evers International Airport	US
KJAX	Jacksonville International Airport	US
KJBR	Jonesboro Municipal Airport	US
KJCT	Kimble County Airport	US
KJFK	John F Kennedy International Airport	US
KJHW	Chautauqua County-Jamestown Airport	US
KJKL	Julian Carroll Airport	US
KJLN	Joplin Regional Airport	US
KJMS	Jamestown Regional Airport	US
KJQF	Concord-Padgett Regional Airport	US
KJST	John Murtha Johnstown Cambria County Airport	US
KJXN	Jackson County Airport/Reynolds Field	US
KKLS	Southwest Washington Regional Airport	US
KL45	Bakersfield International Airport	US
KLAA	Southeast Colorado Regional Airport	US
KLAF	Purdue University Airport	US
KLAL	Lakeland Linder International Airport	US
KLAN	Capital City Airport	US
KLAR	Laramie Regional Airport	US
KLAS	Harry Reid International Airport	US
KLAW	Lawton Fort Sill Regional Airport	US
KLAX	Los Angeles International Airport	US
KLBB	Lubbock Preston Smith International Airport	US
KLBE	Arnold Palmer Regional Airport	US
KLBF	North Platte Regional Airport Lee Bird Field	US
KLBL	Liberal Mid-America Regional Airport	US
KLBT	Lumberton Regional Airport	US
KLBX	Texas Gulf Coast Regional Airport	US
KLCH	Lake Charles Regional Airport	US
KLCK	Rickenbacker International Airport	US
KLEB	Lebanon Municipal Airport	US
KLEE	Leesburg International Airport	US
KLEX	Blue Grass Airport	US
KLFI	Langley Air Force Base	US
KLFK	Angelina County Airport	US
KLFT	Lafayette Regional Airport	US
KLGA	La Guardia Airport	US
KLGB	Long Beach Airport (Daugherty Field)	US
KLGU	Logan-Cache Airport	US
KLIT	Bill & Hillary Clinton National Airport/Adams Field	US
KLLQ	Monticello Municipal Ellis Field	US
KLMT	Crater Lake-Klamath Regional Airport	US
KLND	Hunt Field	US
KLNK	Lincoln Airport	US
KLNS	Lancaster Airport	US
KLOL	Derby Field	US
KLOU	Bowman Field	US
KLOZ	London-Corbin Airport/Magee Field	US
KLRD	Laredo International Airport	US
KLRF	Little Rock Air Force Base	US
KLRU	Las Cruces International Airport	US
KLSE	La Crosse Regional Airport	US
KLSF	Lawson Army Air Field	US
KLSV	Nellis Air Force Base	US
KLTS	Altus Air Force Base	US
KLUF	Luke Air Force Base	US
KLUK	Cincinnati Municipal Airport Lunken Field	US
KLVM	Mission Field	US
KLVS	Las Vegas Municipal Airport	US
KLWB	Greenbrier Valley Airport	US
KLWM	Lawrence Municipal Airport	US
KLWS	Lewiston Nez Perce County Airport	US
KLWT	Lewistown Municipal Airport	US
KLYH	Lynchburg Regional Airport - Preston Glenn Field	US
KMAF	Midland International Air and Space Port	US
KMBG	Mobridge Municipal Airport	US
KMBS	MBS International Airport	US
KMCB	McComb-Pike County Airport / John E Lewis Field	US
KMCC	McClellan Airfield	US
KMCE	Merced Regional Macready Field	US
KMCF	MacDill Air Force Base	US
KMCI	Kansas City International Airport	US
KMCK	Mc Cook Ben Nelson Regional Airport	US
KMCN	Middle Georgia Regional Airport	US
KMCO	Orlando International Airport	US
KMCW	Mason City Municipal Airport	US
KMDH	Southern Illinois Airport	US
KMDT	Harrisburg International Airport	US
KMDW	Chicago Midway International Airport	US
KMEI	Key Field / Meridian Regional Airport	US
KMEM	Memphis International Airport	US
KMER	Castle Airport	US
KMFD	Mansfield Lahm Regional Airport	US
KMFE	McAllen Miller International Airport	US
KMFR	Rogue Valley International Medford Airport	US
KMGE	Dobbins Air Reserve Base	US
KMGM	Montgomery Regional (Dannelly Field) Airport	US
KMGW	Morgantown Municipal Airport Walter L. (Bill) Hart Field	US
KMHK	Manhattan Regional Airport	US
KMHR	Sacramento Mather Airport	US
KMHT	Manchester-Boston Regional Airport	US
KMIA	Miami International Airport	US
KMIB	Minot Air Force Base	US
KMIE	Delaware County Johnson Field	US
KMIV	Millville Municipal Airport	US
KMKC	Charles B. Wheeler Downtown Airport	US
KMKE	General Mitchell International Airport	US
KMKG	Muskegon County Airport	US
KMKL	McKellar-Sipes Regional Airport	US
KMLB	Melbourne Orlando International Airport	US
KMLC	Mc Alester Regional Airport	US
KMLI	Quad City International Airport	US
KMLS	Miles City Airport - Frank Wiley Field	US
KMLU	Monroe Regional Airport	US
KMMT	Mc Entire Joint National Guard Base	US
KMMU	Morristown Municipal Airport	US
KMMV	Mc Minnville Municipal Airport	US
KMOB	Mobile Regional Airport	US
KMOD	Modesto City Co-Harry Sham Field	US
KMOT	Minot International Airport	US
KMPV	Edward F Knapp State Airport	US
KMQY	Smyrna Airport	US
KMRB	Eastern WV Regional Airport/Shepherd Field	US
KMRY	Monterey Peninsula Airport	US
KMSL	Northwest Alabama Regional Airport	US
KMSN	Dane County Regional Truax Field	US
KMSO	Missoula International Airport	US
KMSP	Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field	US
KMSS	Massena International Airport Richards Field	US
KMSY	Louis Armstrong New Orleans International Airport	US
KMTC	Selfridge Air National Guard Base Airport	US
KMTH	The Florida Keys Marathon Airport	US
KMTJ	Montrose Regional Airport	US
KMTN	Martin State Airport	US
KMUI	Muir Army Air Field (Fort Indiantown Gap) Airport	US
KMUO	Mountain Home Air Force Base	US
KMWH	Grant County International Airport	US
KMXF	Maxwell Air Force Base	US
KMYL	McCall Municipal Airport	US
KMYR	Myrtle Beach International Airport	US
KMYV	Yuba County Airport	US
KNBC	Beaufort MCAS - Merritt Field	US
KNBG	New Orleans NAS JRB/Alvin Callender Field	US
KNCA	MCAS New River / McCutcheon Field	US
KNDZ	Whiting Field Naval Air Station South Airport	US
KNEL	Lakehurst Maxfield Field Airport	US
KNEW	Lakefront Airport	US
KNFG	Camp Pendleton MCAS (Munn Field) Airport	US
KNFL	Fallon Naval Air Station	US
KNFW	NAS Fort Worth JRB / Carswell Field	US
KNGP	Corpus Christi Naval Air Station/Truax Field	US
KNGU	Norfolk Naval Station (Chambers Field)	US
KNHK	Patuxent River Naval Air Station (Trapnell Field)	US
KNHZ	Brunswick Executive Airport	US
KNID	China Lake Naws (Armitage Field) Airport	US
KNIP	Jacksonville Naval Air Station (Towers Field)	US
KNJK	El Centro NAF Airport (Vraciu Field)	US
KNKT	Cherry Point MCAS /Cunningham Field/	US
KNKX	Miramar Marine Corps Air Station - Mitscher Field	US
KNLC	Lemoore Naval Air Station (Reeves Field) Airport	US
KNMM	Naval Air Station Meridian / McCain Field	US
KNPA	Naval Air Station Pensacola Forrest Sherman Field	US
KNQA	Millington-Memphis Airport	US
KNQI	Kingsville Naval Air Station	US
KNQX	Naval Air Station Key West/Boca Chica Field	US
KNRB	Naval Station Mayport / Admiral David L McDonald Field	US
KNSE	Whiting Field Naval Air Station - North	US
KNTD	Point Mugu Naval Air Station (Naval Base Ventura Co)	US
KNTU	Oceana Naval Air Station	US
KNUQ	Moffett Federal Airfield	US
KNUW	Whidbey Island Naval Air Station (Ault Field)	US
KNXP	Twentynine Palms Strategic Expeditionary Landing Field	US
KNYG	Quantico Marine Corps Airfield / Turner Field	US
KNYL	Yuma International Airport / Marine Corps Air Station Yuma	US
KNZY	North Island Naval Air Station-Halsey Field	US
KOAJ	Albert J Ellis Airport	US
KOAK	Metropolitan Oakland International Airport	US
KOFK	Karl Stefan Memorial Airport	US
KOGB	Orangeburg Municipal Airport	US
KOGD	Ogden Hinckley Airport	US
KOKC	Will Rogers World Airport	US
KOLF	L M Clayton Airport	US
KOLM	Olympia Regional Airport	US
KOLS	Nogales International Airport	US
KOLU	Columbus Municipal Airport	US
KOMA	Eppley Airfield	US
KONO	Ontario Municipal Airport	US
KONP	Newport Municipal Airport	US
KONT	Ontario International Airport	US
KOPF	Miami-Opa Locka Executive Airport	US
KOQU	Quonset State Airport	US
KORD	Chicago O'Hare International Airport	US
KORF	Norfolk International Airport	US
KORH	Worcester Regional Airport	US
KOSH	Wittman Regional Airport	US
KOSU	The Ohio State University Airport - Don Scott Field	US
KOTH	Southwest Oregon Regional Airport	US
KOTM	Ottumwa Regional Airport	US
KOWB	Owensboro Daviess County Airport	US
KOWD	Norwood Memorial Airport	US
KOXR	Oxnard Airport	US
KOZR	Cairns AAF (Fort Rucker) Air Field	US
KP-0002	Haeju Airfield	KP
KP-0012	Kwaksan Air Base	KP
KP-0015	Koksan Air Base	KP
KP-0020	Hwangju Airbase	KP
KP-0022	Pukchang Air Base	KP
KP-0025	Toksan Air Base	KP
KP-0032	Orang (Chongjin) Airport	KP
KP-0035	Hwangsuwon Airbase	KP
KP-0036	Changjin Air Force Base	KP
KP-0038	Riwon Airbase	KP
KP-0039	Kwail Air Base	KP
KP-0041	Uthachi Highway Strip Airport	KP
KP-0068	Koksan 2 Highway Strip	KP
KPAE	Snohomish County (Paine Field) Airport	US
KPAH	Barkley Regional Airport	US
KPAM	Tyndall Air Force Base	US
KPBF	Pine Bluff Regional Airport, Grider Field	US
KPBG	Plattsburgh International Airport	US
KPBI	Palm Beach International Airport	US
KPDK	DeKalb Peachtree Airport	US
KPDT	Eastern Oregon Regional Airport at Pendleton	US
KPDX	Portland International Airport	US
KPGA	Page Municipal Airport	US
KPGD	Charlotte County Airport	US
KPGV	Pitt Greenville Airport	US
KPHF	Newport News Williamsburg International Airport	US
KPHL	Philadelphia International Airport	US
KPHX	Phoenix Sky Harbor International Airport	US
KPIA	General Wayne A. Downing Peoria International Airport	US
KPIB	Hattiesburg Laurel Regional Airport	US
KPIE	St. Petersburg Clearwater International Airport	US
KPIH	Pocatello Regional Airport	US
KPIR	Pierre Regional Airport	US
KPIT	Pittsburgh International Airport	US
KPKB	Mid Ohio Valley Regional Airport	US
KPLN	Pellston Regional Airport of Emmet County Airport	US
KPMD	Palmdale Regional Airport / USAF Plant 42 Airport	US
KPNA	Ralph Wenz Field	US
KPNC	Ponca City Regional Airport	US
KPNE	Northeast Philadelphia Airport	US
KPNS	Pensacola International Airport	US
KPOB	Pope Field	US
KPOE	Polk Army Air Field	US
KPOU	Dutchess County Airport	US
KPQI	Presque Isle International Airport	US
KPRB	Paso Robles Municipal Airport	US
KPRC	Prescott International Airport - Ernest A. Love Field	US
KPRX	Cox Field	US
KPSC	Tri Cities Airport	US
KPSM	Portsmouth International at Pease Airport	US
KPSP	Palm Springs International Airport	US
KPTK	Oakland County International Airport	US
KPUB	Pueblo Memorial Airport	US
KPUW	Pullman Moscow Regional Airport	US
KPVD	Theodore Francis Green State Airport	US
KPVU	Provo-Utah Lake International Airport	US
KPWK	Chicago Executive Airport	US
KPWM	Portland International Jetport	US
KPWT	Bremerton National Airport	US
KRAL	Riverside Municipal Airport	US
KRAP	Rapid City Regional Airport	US
KRBL	Red Bluff Municipal Airport	US
KRCA	Ellsworth Air Force Base	US
KRDD	Redding Municipal Airport	US
KRDG	Reading Regional Airport (Carl A Spaatz Field)	US
KRDM	Roberts Field	US
KRDR	Grand Forks Air Force Base	US
KRDU	Raleigh Durham International Airport	US
KRFD	Chicago Rockford International Airport	US
KRHI	Rhinelander Oneida County Airport	US
KRIC	Richmond International Airport	US
KRIL	Garfield County Regional Airport	US
KRIV	March Air Reserve Base	US
KRIW	Central Wyoming Regional Airport	US
KRKS	Southwest Wyoming Regional Airport	US
KRME	Griffiss International Airport	US
KRMG	Richard B Russell Airport	US
KRND	Randolph Air Force Base	US
KRNH	New Richmond Regional Airport	US
KRNO	Reno Tahoe International Airport	US
KROA	Roanoke–Blacksburg Regional Airport	US
KROC	Frederick Douglass Greater Rochester International Airport	US
KROW	Roswell Air Center Airport	US
KRSL	Russell Municipal Airport	US
KRST	Rochester International Airport	US
KRSW	Southwest Florida International Airport	US
KRUT	Rutland - Southern Vermont Regional Airport	US
KRVS	Richard Lloyd Jones Jr Airport	US
KRWF	Redwood Falls Municipal Airport	US
KRWI	Rocky Mount Wilson Regional Airport	US
KRWL	Rawlins Municipal Airport/Harvey Field	US
KRYY	Cobb County International Airport-McCollum Field	US
KSAC	Sacramento Executive Airport	US
KSAF	Santa Fe Municipal Airport	US
KSAN	San Diego International Airport	US
KSAT	San Antonio International Airport	US
KSAV	Savannah Hilton Head International Airport	US
KSAW	Sawyer International Airport	US
KSBA	Santa Barbara Municipal Airport	US
KSBD	San Bernardino International Airport	US
KSBN	South Bend Regional Airport	US
KSBP	San Luis County Regional Airport	US
